course_name,unique_identifier,comment
The Fort Golf Resort,5797-the-fort-golf-resort,We were told when we checked in we probably wouldn’t get more than 14 holes in even though we had 4 hours from tee time to sunset. I questioned what their pace of play was and they said 4.5 hours and they didn’t care of fast we played. I understand the course is full but they had a ranger going around but he wasn’t enforcing pace. As we left we asked the group on 18 their tee time and they said 3 pm meaning it took them close to 5 hours.The course itself is great but could be ran better.
The Fort Golf Resort,5797-the-fort-golf-resort,"I play this course everry summer when i go back to visit family. The layout is a gem, especially the front 9. The fact that this place is so cool and the patrons refuse to repair their pitch marks on the greens makes me furious. Pete Dye is probably rolling over in his grave. This is one of the coolest layouts in the entire area, so I fix at least 6 ball marks on each hole. Respect the game. Staff was super nice - from the pro shop to the starter. Ill play it every year, regardless, but just know the greens were marked up last week when we played - which hurt my heart."
The Fort Golf Resort,5797-the-fort-golf-resort,The course had generous fairways and were very well maintained . The hills and greens were also challenging. We would love to play it again
The Fort Golf Resort,5797-the-fort-golf-resort,Beautiful course on a breezy day. Greens were quick but true. The scenic views and peaceful sounds are truly magical.
The Fort Golf Resort,5797-the-fort-golf-resort,Would be nice to have water to wash hands in regards to restrooms.
The Fort Golf Resort,5797-the-fort-golf-resort,"It was wonderful! No wait times, no one pushing us. The bunkers were in much better shape today. Better than 2 weeks ago!"
The Fort Golf Resort,5797-the-fort-golf-resort,"My buddy and I played on a windy/rainy day in late March. We felt lucky to have the course mostly to ourselves and we took advantage of a GolfNow deal. On arrival, my buddy was told he would have to pay $32 for an extra cart. We like to bring my buddies brother along with us when we golf. He has cerebral palsy and is disabled, so clearly will not be playing with us just riding. After some words back and forth with the gentlemen at the counter about how ridiculous $32 is just for cart use, he went to get a “manager” to lower the price. How about making it free like every other course does? We understand when it’s busy and the carts are needed, we are fine with paying extra. But clearly something else could’ve been done this time and it just shows where these guys heads are at and it’s not about people and them enjoying their time golfing."
The Fort Golf Resort,5797-the-fort-golf-resort,"One of the most beautiful courses in Central Indiana. As always, Course was in great condition. Took my golf buddy out for his first time there, and he just absolutely loved it. Can't beat a round here in early November at 70° outside."
The Fort Golf Resort,5797-the-fort-golf-resort,"We love the Fort course. It was a beautiful fall day. The falling leaves made it a bit more difficult to find our balls, but still wonderful. We played 18 holes in 4 hours!"
The Fort Golf Resort,5797-the-fort-golf-resort,The course was in good condition. Playing pace was terrible and had to wait almost at every tee. The staff member in the clubhouse was very arrogant.
The Fort Golf Resort,5797-the-fort-golf-resort,I love the fact that you are not in someone’s backyard- and what you see is what you get- no “trick” holes
The Fort Golf Resort,5797-the-fort-golf-resort,"It was a wonderful evening, but pretty busy and pace of play was slow"
The Fort Golf Resort,5797-the-fort-golf-resort,My favorite track in Indy. Course was in excellent condition. Greens were fast but receptive. I could play here everyday and not get bored.
The Fort Golf Resort,5797-the-fort-golf-resort,Played with my husband and were paired with 2 other guys that were very nice and we had a great round of 18 holes. No waiting for people in front of us and no one pushing us from behind. The sand traps were wet and not raked was our only complaint.
The Fort Golf Resort,5797-the-fort-golf-resort,Overall good course but in my opinion its overrated. Pace was great on a friday morning. The plethora of bunkers were in absolutely terrible shape. At some point everyone ends up in one and it really ruins your game to hit off concrete.This course has a great deal of restrictions on cart and feels like very few areas you can drive your cart and the cart signs are very far back from the green leading to slower play. No GPS on carts but they are fast carts.
The Fort Golf Resort,5797-the-fort-golf-resort,"I have not been home in 10 years, but this course mad me glad I came home! I live in florida with flat level courses for the most part. this course was full of hills ravines and fun and challenging to play. Next time I'm in town definitely will play here again. Got to pickup the birdies I left on the course!!!"
The Fort Golf Resort,5797-the-fort-golf-resort,"We had some friends that said it was in rough shape, but for us it was in great shape. Greens were fast but fair and the course was well manicured."
The Fort Golf Resort,5797-the-fort-golf-resort,Course is in good shape and greens are fastEnjoyed the courseI am from Florida visiting Indianapolis and love to play this course again
The Fort Golf Resort,5797-the-fort-golf-resort,Great layout but sand traps were poorly maintained and mostly hard pan.
The Fort Golf Resort,5797-the-fort-golf-resort,We had a great time. We just had 2 of us and their were 3-somes in front of us that were a bit slow. It turned out it was the 3 some 2 in front of us that was so slow. The 3 some in front of us went around them at the end of the 1st 9 and we went around them at hole 16.
The Fort Golf Resort,5797-the-fort-golf-resort,"Unquestionably, The Fort is one of the top courses in the Indy area. A great layout that was in fantastic shape. The greens were excellent, large but with a lot of slope and extremely quick. Pete Dye did a redesign and you can tell as it was quite challenging to play."
The Fort Golf Resort,5797-the-fort-golf-resort,"The course had a hole map at each tee box with a suggestion as to how to play it. Lots of tee choices and the fairways were nice and tight to play off. Some were quite wide and simple to hit, but others required accurate tee shots. Also there is no water in play, which I liked."
The Fort Golf Resort,5797-the-fort-golf-resort,"One knock is that the pace of play dragged as we waited on every shot. One reason is that the course was PACKED, which probably speaks to the quality of the course. However, a secondary factor might be that the course is very difficult and precise shots need to be pulled off on a steady basis. The other thing that was a bit of a downer is that our cart was pretty beat up. The wind shield was broken and the cart looked scuffed and tired."
The Fort Golf Resort,5797-the-fort-golf-resort,Go play The Fort as you won’t be disappointed!
The Fort Golf Resort,5797-the-fort-golf-resort,"Great course and I would play again. Only complaint was that the staff came out on the course and rushed us as well as a couple of other players. We had a fouresome and it was cart path only, so it did play longer, but we thought our pace was good. It took us just under 5 hours to play 18. Longer than usual, but when it is cart path only it is going to take longer than usual. I had 11,000 steps in for the day! We did let a twosome play through as well as a threesome. Only thing we could figure was the threesome told us they were regulars/memebers and they complained because they wanted to play faster. Other than that, it was a great time and I would play it again."
The Fort Golf Resort,5797-the-fort-golf-resort,"Public facility that gets a lot of play, great layout, pace of play can be problematic because the course is difficult. Staff is excellent."
The Fort Golf Resort,5797-the-fort-golf-resort,"The Fort is one of the top golf courses in central Indiana. Numerous tees to select from make it enjoyable for all levels of golfers. Challenging layout, generous fairways, consistent greens."
The Fort Golf Resort,5797-the-fort-golf-resort,Course was in great shape. Carts need to be updated.
The Fort Golf Resort,5797-the-fort-golf-resort,"Perfect day, not too crowded, one of the best public courses in Indiana"
The Fort Golf Resort,5797-the-fort-golf-resort,The course is perfect for an early season round. Green roll true.
The Fort Golf Resort,5797-the-fort-golf-resort,Great course and good condition - the only issue is the pace of play - its probably a little to difficult for some players.
The Fort Golf Resort,5797-the-fort-golf-resort,Good layout. Would play again if gets a chance.
The Fort Golf Resort,5797-the-fort-golf-resort,Back 9 greens are a bit slow but understandable due to early in the season.
The Fort Golf Resort,5797-the-fort-golf-resort,"Carts not allowed on the fairways, so makes it a bit long round."
The Fort Golf Resort,5797-the-fort-golf-resort,Enjoyed!
The Fort Golf Resort,5797-the-fort-golf-resort,We always like this course and come to play a few times every year!
The Fort Golf Resort,5797-the-fort-golf-resort,"Loved the fairways, beautiful scenery and the hills are challenging. The greens left a bit to be desired, lots of damage from poorly repaired ball marks giving a bumpy roll on many holes."
The Fort Golf Resort,5797-the-fort-golf-resort,I love this course . It’s a tough first play because you can’t always see what is in front of you. It’s a beautiful course. Love the layout.
The Fort Golf Resort,5797-the-fort-golf-resort,"Despite the expensive rates, it’s a great course that’s worth the price. I personally can’t afford to play it regularly but I like to get out here at least once a year. Would highly recommend it!"
The Fort Golf Resort,5797-the-fort-golf-resort,"By far my favorite course in Indiana. Extremely well maintained, challenging, and scenic. Highly recommend to anyone and everyone."
The Fort Golf Resort,5797-the-fort-golf-resort,"One of my favorites, nothing but great things to say about it."
The Fort Golf Resort,5797-the-fort-golf-resort,"This was my first round at The Fort as I am a recent citizen of Indiana - What is there left to say that legions of folks have posted? The course accommodates many levels of skill, and the tee boxes are appropriately positioned. The course is hilly and the brisk breezes make the course play a lot longer than most courses. The course rewards gambles and the dog legs are extreme on a few holes, and straighter is certainly better here! Beautiful views, picturesque even and the pace of play was pretty good considering the range of skill-levels encountered on my round. The greens were in good shape, but aeration has been recently done. I look forward to playing this course again soon!"
The Fort Golf Resort,5797-the-fort-golf-resort,This was a great round of golf for the money! The Fort was beautiful in the fall.
The Fort Golf Resort,5797-the-fort-golf-resort,"For late October the course was in good shape. They had recently spiked the greens but had yet to put sand down on them to fill in those holes. So that made putting somewhat a challenge. The rest of the course was in great shape. The grounds crew were out using big blowers getting the leaves off the fairways and since this course is tree lined it would have been difficult finding your ball in the fairway with all the leaves. Pace of play got slow starting on hole 7 as the foursome in front of us was really taking their time. It was a nice October day but come on, move along at a steady pace. Other than that we enjoyed our day and had a great time. Will definitely return next season. The staff were very nice all around."
The Fort Golf Resort,5797-the-fort-golf-resort,We always treat ourselves to a round of golf at The Fort in the fall. Beautiful course even more spectacular in when the trees are in their fall color.
The Fort Golf Resort,5797-the-fort-golf-resort,"Conditions were very good. Greens were cored but not sanded. Ball still rolled pretty good although you're starting out of a dimple. Driving range closed for seasonbut I did read that on the website. Otherwise everything was great. Staff were all friendly, outgoing and helpful. Will definitely be playing here again."
The Fort Golf Resort,5797-the-fort-golf-resort,"Gorgeous views, beautiful property, great course. Plays slow and leaves are tough"
The Fort Golf Resort,5797-the-fort-golf-resort,Leaves cleared well. Greens had just been aerated but still decent. Pace of play is always an issue. It’s the one issue from playing there more often.
The Fort Golf Resort,5797-the-fort-golf-resort,Good course but a bunch of grumpy old men working at the front counter.. The grumpy old men need to loose up and be more nice to the customers. I have played there so many times and they are so rude & not customers friendly. Need to hire more young people to work there. Unfriendly staff needs to change.
The Fort Golf Resort,5797-the-fort-golf-resort,Always love to play there and will play there again!
The Fort Golf Resort,5797-the-fort-golf-resort,Poor fairway conditions on several holes. Bunkers were trash. Not with tee rates they are charging
The Fort Golf Resort,5797-the-fort-golf-resort,Great course but the pro shop staff acted like I was bothering them by checking in for my round that was further enforced when I got to my cart and it had a print out of all the things to do and not do on the course. Only person who was actually friendly was the starter
The Fort Golf Resort,5797-the-fort-golf-resort,"Not only is this a beautiful course, the speed of play is excellent and it is challenging.They do a fantastic job at keeping the pace of play at a perfect speed."
The Fort Golf Resort,5797-the-fort-golf-resort,"Greens goodFairways goodTees goodBunkers not so goodGreat layoutNo drink cartWas threesome, then us a 4 some, then anotherThreesome, told on 15 we where playing slow by ranger, in a very nice wayGot 1 hole behind threesome, threesome behind us called in to pro shop, 3 always plays faster then 4, we played from 3 different tees, 2 seniors, a lady, then a guy who played blues do to his ability and distance off tee"
The Fort Golf Resort,5797-the-fort-golf-resort,"Great Course, serene, Nice Layout, Greens roll Stree"
The Fort Golf Resort,5797-the-fort-golf-resort,"The most serene, and best public course in Indianapolis. A great challenge with accessible tees for all playing levels. Will be back when I get the chance!!"
The Fort Golf Resort,5797-the-fort-golf-resort,What is needed is for fellow golfers to repair there divot mark's on the green's
The Fort Golf Resort,5797-the-fort-golf-resort,Such a good course but conditions of greens and bunkers are awful! No excuse for it.
The Fort Golf Resort,5797-the-fort-golf-resort,"Was in impeccable condition considering how wet the area has been. Staff was more than courteous and help since I was playing as a single, the placed me with a nice couple in town visiting from Kansas City I believe."
The Fort Golf Resort,5797-the-fort-golf-resort,"The Fort use to be one of my favorites courses and would play a handful of time every year. Last year you could tell they were not doing as good of a job maintaining the course. I played twice this year and the course was in worse shape. Hard and horrible traps. Average condition on the remainder of the course. When you have to pay high green fees, you have too many other options that are better for the price. Covid is not an excuse for the condition. Haven’t seen too many other course in this poor of condition, even the city courses. I have spoken to other golfers who feel the same way. So sad for all the fans of the old course."
The Fort Golf Resort,5797-the-fort-golf-resort,"Absolutely beautiful course and layout. I’ve played here several times and I always have the same two “complaints” - greens could be in a lot better shape and the course could use a lot more yardage markers. They could go a step beyond and add GPS to the carts, but doubt if they will ever happen."
The Fort Golf Resort,5797-the-fort-golf-resort,A wonderful golf course like no other within hundreds of miles. This course is a true gem for Indianapolis. This course has multiple tee boxes to accommodate any skill level. And it also has many memorable or signature holes. The Fort being a part of the state parks system is a plus. You simply do not imagine that you are in a Metroplex city. Very enjoyable to play.
The Fort Golf Resort,5797-the-fort-golf-resort,"It's been a great week of golf in the Indy area and The Fort did not disappoint. Buffer Park, Brickyard Crossing, and the CC of Indy were all stellar golf experiences and The Fort brought Indy golf to yet another level. Historic, scenic, BIG, lush, just a great venue and the conditions were fantastic, and for a price that would make most high falutin' tracks blush. Winding through the hill country of the old Army fort area, this gem was a real pleasure. We played the White Tees, and when we looked back, the 2 tees behind us looked they could offer all any golfer could handle. Each home was unique and memorable, with ample fairways on some, tight spots in others, not a boring hole to be found. My friend who lives in the area says it's his favorite local course and I can see why. The greens do suffer a little from ample play with a lot of unrepaired ball marks and some slight fungus damage here and ther, but not enough to detract from the experience. I'd be happy to play here again given the chance. If in the Indy area, don't miss this beaut, er, brute!"
The Fort Golf Resort,5797-the-fort-golf-resort,This is my favorite course I have played around Indy. The course can be incredibly challenging if you are not on your game but also provides plenty of opportunities for birdies. The greens roll very well and all of the grass in the fairway is perfect. Wouldn’t mind paying $75 to play here
The Fort Golf Resort,5797-the-fort-golf-resort,Was in town and wanted to play this course. Glad I had some locals who had played it before to let you know the best place to put your shot. Course was in great condition. Greens were soft and not to fast or slow. I would love to come back and play again
The Fort Golf Resort,5797-the-fort-golf-resort,"Course is a real gem. Layout is superb, and conditions were top notch. If i could give value 10 stars I would because you won’t find any courses this good for $100 let alone $60. Anyone visiting Indianapolis should absolutely play it."
The Fort Golf Resort,5797-the-fort-golf-resort,Excellent course fairways and greens were the very best I’ve played in many years
The Fort Golf Resort,5797-the-fort-golf-resort,"I have always enjoyed the course and try to play it several times a year. I have been disappointed this year. played it twice in June and July. and was disappointed in the condition. Many traps had a lack of sand, hard and or not raked. Other conditions of the course were OK but not up to the condition in the past. When the green fees are what they are, you expect more. One of the rounds, one of the employees played with us and I mentioned the condition. He agreed and said it was the lack of enough employees to take care of the course. If they can’t keep it up, they should reduce green fees. Hope they can do a better job in 2023, because I have always enjoyed the course in the past."
The Fort Golf Resort,5797-the-fort-golf-resort,The course layout is nice. It just gets old as to having to pay FULL price and use CPO as the course retains water.The Greens fee is mostly likely high to cut amount of over play. Pace of play is always slow also with CPO. 5 hours.
The Fort Golf Resort,5797-the-fort-golf-resort,Very nice layout and in good shape for a public course. Very generous driving areas but for a couple of holes. No water to worry about.Very Large Greens.
The Fort Golf Resort,5797-the-fort-golf-resort,Great conditions besides some bunkers look to be going “natural.” Fun course. Will return.
The Fort Golf Resort,5797-the-fort-golf-resort,The staff is awesome the pro is great for a solid lesson and help for your game.
The Fort Golf Resort,5797-the-fort-golf-resort,"The Fort is a terrific course. And it is in great shape! This is one of my favorites, and it never disappoints."
The Fort Golf Resort,5797-the-fort-golf-resort,Great course. Traps were in bad shape but I always say don’t hit iit in them
The Fort Golf Resort,5797-the-fort-golf-resort,I think they are short staff
The Fort Golf Resort,5797-the-fort-golf-resort,Excellent layout. Big and brawny. Take what it gives you or you'll be in trouble. Excellent staff and practice facilities! I'll return whenever I visit the area.
The Fort Golf Resort,5797-the-fort-golf-resort,Always a delight to play this course. Well maintained and always a challenge!
The Fort Golf Resort,5797-the-fort-golf-resort,"bunkers are being redone, rough was US Open thick and lush. More weedy than last visits . Tees and greens are in great shape. Still one of the best tracks in Indianapolis"
The Fort Golf Resort,5797-the-fort-golf-resort,The course was in great shape. Very challenging layout.
The Fort Golf Resort,5797-the-fort-golf-resort,"Even in early spring, the course is gorgeous. A very challenging course for a beginner gofler but don't let the difficulty dissuade you. As for greens fees, a little on the steep end for me, but we got a Golf Now deal that made it a great value for the day."
The Fort Golf Resort,5797-the-fort-golf-resort,The course lay way out is excellent condition on the course was less than expected
The Fort Golf Resort,5797-the-fort-golf-resort,Beautiful course but the staff and rangers are rude. Used to be a course for military but now public and still act like it's a private course. Play about 3 times a year but can be aggravating due to the staff.
The Fort Golf Resort,5797-the-fort-golf-resort,Took five hours. Waited 15 minutes and couldn’t get refreshment prior to round.
The Fort Golf Resort,5797-the-fort-golf-resort,"The staff is rude. From the pro who only allows foursomes…to the check in clerk who won’t let you speak without interrupting, to the starter who questions you tee time even after getting your receipt. It seems pretty clear threes people do NOT want you to play this course."
The Fort Golf Resort,5797-the-fort-golf-resort,Then there is the course itself. It’s pretty scenery but that’s it. EVERY hole is a gimmick hole. For examples…the par 3 fourth hole has a false front green. The gentleman who run this course put the pin ON THE FALSE FRONT!! I had a 10 ft putt and hit a good putt. Should have ended up 6 to 8 inches from the hole…instead it rolled off the front of the green and 15 yards down the hill!! It’s stupid! And every hole has something to trick it up! This is by far the least fun golf course I have ever played.
The Fort Golf Resort,5797-the-fort-golf-resort,I will NEVER play this course again and tell all my friends not to. There are better places to play than this over-priced gimmick city course.
The Fort Golf Resort,5797-the-fort-golf-resort,"Had a great time golfing The Fort golf course today for the first time. The beautiful fall leaves and deer were a bonus to this hilly, well maintained golf course. If you hit them straight you can score well. If not, you have a lot of trees and ravines to find your ball in.Would love to play this course again sometime."
The Fort Golf Resort,5797-the-fort-golf-resort,"Been playing here for years. One of Indy’s best courses, so I’ll continue to play… but the staff has always been very unfriendly and condescending for no reason."
The Fort Golf Resort,5797-the-fort-golf-resort,The best course in the Indianapolis area. A gem! Green Aeration was the only negative. Rain showers at the end of the fron nine. Had to wait about 30 minutes for it to pass over.
The Fort Golf Resort,5797-the-fort-golf-resort,"I have played the FORT occasionally since 1968.Through high school, college, post-grad years and prime career! Generous real estated, little housing distraction, rolling terrain unusual for Indiana golf,And re-designed 14 years now by Pete Dye, a saintAmong golf devotees!Fees have risen, yet the charm lingers over 50 yearsWith the warm hand-shake on #1 to the surrender on #18! Thanks for your loyal friendship!"
The Fort Golf Resort,5797-the-fort-golf-resort,This course is a great one. I live close but I would travel from the other side of town to play a course like this one. I enjoy the challenges that this course has for my amateur level of play. I play 3-4 times a month and i generally rotate around to different courses but this one’s always in my routine.
The Fort Golf Resort,5797-the-fort-golf-resort,"One of the top courses in Indiana, great design by Pete Dye, course was in great shape! Only wish play was a bit quicker, always spend 4 1/2 to 5 1/2 hours to get in 18, even during week days. Would recommend to anyone to give this course a try."
The Fort Golf Resort,5797-the-fort-golf-resort,"I played The Fort with two other friends on 09/02/21. Another cool Pete Dye designed course. This is a parkland golf course with some holes that need to be played strategically (#2 & #10). The first time I played it, was almost five years ago to the day. I’m very happy to say that the conditions are still in excellent shape. The greens rolled nice and smooth. The course was in excellent shape from tee to green. The rough was not too high where you could not find you ball. Overall, the course is very fair. The fairways are wide enough where you can be off line with your tee shot and still be in play. I read some previous reviews about the staff being rude and unprofessional, but I can honestly say on the day we were there, the staff was extremely nice and professional. I would definitely play there again, for a third time."
The Fort Golf Resort,5797-the-fort-golf-resort,This course is not for a beginner however it is a great challenge. Beautiful scenery on virtually every course.Part of a State Park with the same name. A great course with multiple tee boxes hovering you pliability for any age and skill level ( above beginner).
The Fort Golf Resort,5797-the-fort-golf-resort,Great course but the rangers are too old to do their job. You will be waiting to tee off with a group in the fairway and they tell you to pick up the pace. Course condition is always hit or miss and the club house staff are always rude.
The Fort Golf Resort,5797-the-fort-golf-resort,"The Fort golf course is a beautiful course, with many scenic holes - it's literally picture-perfect. It's also a wonderful challenge, with blind t-shots, blind second shots, and some significant carries required. The course is in very good shape, the fairways and greens were well kept, though the bunkers could use some TLC; COVID-times being what they are, it's of little consequence, and did not significantly impact our round. The facilities are great, the staff very friendly and helpful; the Starter, Ivan, was very cordial and shared a lot of details to make our day a great one - and it was!"
The Fort Golf Resort,5797-the-fort-golf-resort,Course was in great shape except for the greens. They were in rough shape. No consistency.
The Fort Golf Resort,5797-the-fort-golf-resort,This was my third time playing The Fort and I must say the conditions were not as good as I remember. The bunkers were very sub-par and the greens were surprisingly slower than what I expected. But for the most part the course played nice. Could have used a breeze to combat the sweltering hot conditions that made the day miserable. I couldn't wait for the round to be over. I did however birdie two of the final three holes and three putted #17 from 85 feet. So I left on some good vibes.
The Fort Golf Resort,5797-the-fort-golf-resort,"$85 for 18 w cart, but with it. Played in 4 hr 10 min at a good pace. One green had aeration, but other than that course was great condition even with all the recent rain. Great Sunday morning round."
The Fort Golf Resort,5797-the-fort-golf-resort,The greens are inconsistent with speeds. They need to be cared for as well. Tons of ball marks and unrepaired areas. The bunkers also have no sand and need tons of work. Many were unraked. Tee boxes and fairways were for the most part level and nice. This course probably was very nice 5-10 years ago.
The Fort Golf Resort,5797-the-fort-golf-resort,"Excellent facility. Very friendly shop staff and competent course maintenance personnel. Only drawback is that the players leave behind too many unrepaired ball marks, unfilled divots and unraked bunkers."
The Fort Golf Resort,5797-the-fort-golf-resort,The Fort is one of the best lay outs in Indiana. I’ve played the Brickyard and some of Indiana’s best over the past year and can’t say any of them are a better layout then the FORT. After a severe storm went thru a couple days earlier the course was in really good shape the only issue was some of the greens have been punched on the back nine. I would guess in the next few weeks they will all be done. They rolled well besides that and held a shot better then any greens I have played this year. The course is well worth the green fee price. Really fun and challenging. I also played one of my best rounds of the year even par 72
The Fort Golf Resort,5797-the-fort-golf-resort,If I went to a municipal I would expect to tempo of play . Not what you expect when you pay that sort of money for golf. Several groups 2 + holes behind and no rangers to speed them up.
The Fort Golf Resort,5797-the-fort-golf-resort,This course is considered one of the premium courses in Central Indiana. Haven't played in a few years. Bunkers have a top soil sand mix. Not a good combo. Rough extremely high and not a consistent height around the course. Lots of grass clippings in rough making it hard to locate your ball. Only good for slowing play. Greens were by far the slowest I've ever seen on that course. Hope they can do better to improve.
The Fort Golf Resort,5797-the-fort-golf-resort,"Course is always so fun to play. First time going out this year and it was disappointing to see the greens in this condition. The course is in beautiful shape and then you get to the greens, and its the golfers that are chewing up the greens. I dont mind fixing divot marks but poor player maintenance this Spring has now left the greens looking like a crater field."
The Fort Golf Resort,5797-the-fort-golf-resort,"I've played the Fort many times. Best layout and best undulating fairways in the city. HOWEVER, I could tell the battery charge on my cart was giving out. (I was the only one in the cart and weigh roughly 180 lbs, if you're wondering.) By the time we teed off on the 18h I had to ask my golf party members to give me a push up the hill because my cart was not going to make it. They did so as well as got out and pushed!! I barely made it. So...tip to the staff to checkout the battery charge in the carts. Other than that, terrific golf experience as usual."
The Fort Golf Resort,5797-the-fort-golf-resort,It was cart only so that made our round a little slower. Some spots were very wet and a few sand traps were like cement... from the rain the past few days. Greens/ fairways in good shape. We will certainly be back.
The Fort Golf Resort,5797-the-fort-golf-resort,Greens require some attention to bring back toHigh level conditions.
The Fort Golf Resort,5797-the-fort-golf-resort,Tees and fairways in very Goog condition
The Fort Golf Resort,5797-the-fort-golf-resort,Traps were inconsistent just need mechanicalraking to loosen up compaction
The Fort Golf Resort,5797-the-fort-golf-resort,I haven’t played your course for 3 years but it’s my favorite course! The staff at the front desk are great!! Hope I can play it this year because I enjoy it a lot.
The Fort Golf Resort,5797-the-fort-golf-resort,"The course has only been open for a week or so, so I will give them a break. The greens were covered in small piles of sand which made it very difficult to putt. In a couple of weeks the course should be in excellent condition."
The Fort Golf Resort,5797-the-fort-golf-resort,This was the first time we have played at this course and we were very impressed. We will definitely be back.
The Fort Golf Resort,5797-the-fort-golf-resort,"Played while in from out of town. For $60 I’ve never played a nicer course. The layout is fun but not impossible, the scenery is amazing, remote and not lined with houses everywhere. Tee to green it was in excellent condition."
The Fort Golf Resort,5797-the-fort-golf-resort,It is a great course. It is very pretty. It is very challenging from the tips. The course was in great shape
The Fort Golf Resort,5797-the-fort-golf-resort,"The layout is nice and challenging however it does not look like they have repaid a divet in years. All Par 3s was just hitting off dirt. The Greens were bumpy as well. Seems like they use this course as a cash cow, high price and don’t put much back into it."
The Fort Golf Resort,5797-the-fort-golf-resort,It is exceptionally beautiful but difficult course. It’s very hilly. I think the only time my ball was on level ground was at the tees. It’s a bit pricey too but I’m glad I played it
The Fort Golf Resort,5797-the-fort-golf-resort,You will NOT be disappointed with this historic track. Gorgeous piece of land! Pace of play was slow (5-hour round)
The Fort Golf Resort,5797-the-fort-golf-resort,"It can be expensive, but this is one of the best and most beautiful courses in Indy!"
The Fort Golf Resort,5797-the-fort-golf-resort,"The course was great! One of my favorites I’ve ever played. Most of the staff was really nice, but we also felt rushed even though we checked in 40 min ahead of our tee time. I felt the urgency was unnecessary and could have been communicated a bit more graciously."
The Fort Golf Resort,5797-the-fort-golf-resort,"All in all, can’t wait to go back!"
The Fort Golf Resort,5797-the-fort-golf-resort,You’re not going to find a course comparable to this in Indy. Great place.
The Fort Golf Resort,5797-the-fort-golf-resort,"Tough course in the wind . Greens, fairways, traps in good shape. Mix of elevated greens and multiple tee boxes. Fun, put it on your list!"
The Fort Golf Resort,5797-the-fort-golf-resort,"Tremendous layout. Challenging but score able.Anomalous hilly terrain. Deceptively challenging short holes.Sometimes a bit of a long slog.Great exercise for walkers.Historical layout by the army, last modified by pete Dye in 1995."
